"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANIPORTS","EQ","26-Apr-2019","        389.25","        387.30","        393.70","        385.65","        391.00","        391.75","        391.01","    1681376","           657430465.10","      25982","     716120","         42.59"
"ADANIPORTS","EQ","30-Apr-2019","        391.75","        391.15","        393.95","        384.80","        391.70","        392.80","        390.32","    2502107","           976621212.40","      27547","    1548307","         61.88"
"ADANIPORTS","EQ","02-May-2019","        392.80","        392.80","        397.00","        390.15","        395.30","        395.30","        394.75","    2139442","           844540189.90","      32938","     960389","         44.89"
"ADANIPORTS","EQ","03-May-2019","        395.30","        393.00","        398.40","        385.05","        387.30","        387.25","        393.56","    1863548","           733421445.35","      30470","     771097","         41.38"
"ADANIPORTS","EQ","06-May-2019","        387.25","        386.00","        386.05","        378.45","        380.00","        379.80","        381.39","    1648057","           628547479.25","      46046","     752175","         45.64"
"ADANIPORTS","EQ","07-May-2019","        379.80","        381.00","        383.95","        370.10","        370.40","        371.90","        377.07","    1628805","           614180562.90","      41146","     589474","         36.19"
"ADANIPORTS","EQ","08-May-2019","        371.90","        370.05","        374.90","        367.70","        369.50","        369.80","        371.65","    1688110","           627385579.80","      66318","     614190","         36.38"
"ADANIPORTS","EQ","09-May-2019","        369.80","        369.90","        370.70","        361.10","        363.30","        363.90","        364.77","    1315271","           479777492.60","      26501","     302972","         23.03"
"ADANIPORTS","EQ","10-May-2019","        363.90","        363.90","        378.70","        363.90","        370.00","        372.55","        372.39","    3030255","          1128443094.10","      48415","     901474","         29.75"
"ADANIPORTS","EQ","13-May-2019","        372.55","        369.90","        372.30","        362.95","        365.00","        364.75","        368.30","    1520562","           560025920.75","      19145","     475166","         31.25"
"ADANIPORTS","EQ","14-May-2019","        364.75","        362.90","        373.80","        362.00","        371.65","        370.55","        371.20","    3050760","          1132429076.55","      73370","    1417246","         46.46"
"ADANIPORTS","EQ","15-May-2019","        370.55","        371.00","        375.00","        359.10","        359.50","        360.15","        367.00","    2499138","           917190282.25","      73488","     923445","         36.95"
"ADANIPORTS","EQ","16-May-2019","        360.15","        361.00","        374.00","        361.00","        372.25","        371.50","        368.46","    3157194","          1163302327.85","      69104","    1455711","         46.11"
"ADANIPORTS","EQ","17-May-2019","        371.50","        368.80","        372.80","        362.00","        367.00","        367.10","        365.96","    3059404","          1119604312.85","      47443","    1577810","         51.57"
"ADANIPORTS","EQ","20-May-2019","        367.10","        388.50","        408.20","        376.05","        407.45","        400.10","        392.61","   10973781","          4308447412.00","     105141","    4385195","         39.96"
