"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","26-Apr-2019","       1447.95","       1450.00","       1459.35","       1436.00","       1448.00","       1448.75","       1444.75","     704193","          1017384947.95","      26932","     401877","         57.07"
"ASIANPAINT","EQ","30-Apr-2019","       1448.75","       1456.00","       1477.00","       1455.30","       1464.00","       1463.15","       1464.95","    1525776","          2235180776.05","      57273","     901754","         59.10"
"ASIANPAINT","EQ","02-May-2019","       1463.15","       1465.00","       1472.90","       1430.10","       1441.90","       1436.60","       1452.31","     774788","          1125235337.50","      40980","     287803","         37.15"
"ASIANPAINT","EQ","03-May-2019","       1436.60","       1443.80","       1456.00","       1432.20","       1436.00","       1438.55","       1443.92","    1020007","          1472806172.05","      34696","     468576","         45.94"
"ASIANPAINT","EQ","06-May-2019","       1438.55","       1434.95","       1448.60","       1408.55","       1418.00","       1412.80","       1423.20","    1161960","          1653704404.05","      33537","     595215","         51.23"
"ASIANPAINT","EQ","07-May-2019","       1412.80","       1426.80","       1426.80","       1376.35","       1391.00","       1387.80","       1396.83","    2863939","          4000436558.30","      78177","    1822508","         63.64"
"ASIANPAINT","EQ","08-May-2019","       1387.80","       1382.00","       1395.00","       1362.60","       1395.00","       1385.70","       1379.52","    1414591","          1951463399.55","      40321","     860170","         60.81"
"ASIANPAINT","EQ","09-May-2019","       1385.70","       1384.95","       1393.65","       1346.55","       1350.00","       1354.20","       1367.60","    2628463","          3594676476.10","      89032","     998318","         37.98"
"ASIANPAINT","EQ","10-May-2019","       1354.20","       1314.10","       1350.00","       1314.10","       1345.00","       1341.05","       1335.23","    3476379","          4641773918.50","     143729","    1638493","         47.13"
"ASIANPAINT","EQ","13-May-2019","       1341.05","       1341.05","       1345.25","       1323.65","       1336.55","       1332.50","       1332.02","     862130","          1148375776.40","      55173","     462186","         53.61"
"ASIANPAINT","EQ","14-May-2019","       1332.50","       1330.00","       1334.75","       1302.10","       1325.00","       1320.25","       1316.83","    2167873","          2854712285.30","      87969","    1263003","         58.26"
"ASIANPAINT","EQ","15-May-2019","       1320.25","       1326.00","       1329.00","       1301.70","       1308.00","       1305.95","       1310.28","     996276","          1305402941.00","      61590","     527059","         52.90"
"ASIANPAINT","EQ","16-May-2019","       1305.95","       1312.00","       1314.00","       1295.85","       1311.95","       1304.40","       1302.58","     726485","           946306372.25","      42191","     373998","         51.48"
"ASIANPAINT","EQ","17-May-2019","       1304.40","       1305.00","       1330.75","       1301.00","       1320.00","       1320.00","       1318.50","     860934","          1135139004.40","      60475","     445876","         51.79"
"ASIANPAINT","EQ","20-May-2019","       1320.00","       1340.00","       1378.40","       1335.00","       1372.60","       1373.95","       1361.32","     976630","          1329509560.35","      57997","     486686","         49.83"
"ASIANPAINT","EQ","21-May-2019","       1373.95","       1384.00","       1384.00","       1352.70","       1354.05","       1357.75","       1367.98","    1166297","          1595474035.25","      69783","     640776","         54.94"
"ASIANPAINT","EQ","22-May-2019","       1357.75","       1360.50","       1373.75","       1348.05","       1363.10","       1368.45","       1365.51","     840075","          1147129242.30","      40586","     464954","         55.35"
"ASIANPAINT","EQ","23-May-2019","       1368.45","       1389.00","       1389.00","       1357.70","       1362.00","       1367.75","       1372.87","    1527569","          2097149879.45","      61542","     995531","         65.17"
