"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CIPLA","EQ","26-Apr-2019","        555.60","        558.25","        572.90","        557.20","        568.60","        567.95","        567.45","    2593397","          1471611372.75","      83683","     805402","         31.06"
"CIPLA","EQ","30-Apr-2019","        567.95","        569.90","        571.05","        558.65","        563.00","        565.00","        563.87","    1914026","          1079264961.85","      34234","     950719","         49.67"
"CIPLA","EQ","02-May-2019","        565.00","        563.00","        569.70","        556.70","        568.00","        565.60","        563.21","    1700976","           958002277.60","      31137","     637179","         37.46"
"CIPLA","EQ","03-May-2019","        565.60","        568.00","        573.00","        561.65","        562.95","        564.50","        566.80","    2758638","          1563608340.55","      31378","    1329400","         48.19"
"CIPLA","EQ","06-May-2019","        564.50","        556.00","        564.50","        556.00","        564.00","        563.35","        561.26","    1715311","           962740281.95","      38504","     788643","         45.98"
"CIPLA","EQ","07-May-2019","        563.35","        564.00","        566.30","        555.15","        557.25","        557.95","        560.62","    1478212","           828716850.20","      27928","     724475","         49.01"
"CIPLA","EQ","08-May-2019","        557.95","        556.00","        561.40","        549.00","        560.00","        558.00","        555.57","    1890174","          1050132122.95","      37924","     695243","         36.78"
"CIPLA","EQ","09-May-2019","        558.00","        559.90","        561.05","        548.70","        556.10","        557.75","        554.26","    1672967","           927262424.85","      28267","     562752","         33.64"
"CIPLA","EQ","10-May-2019","        557.75","        557.75","        562.70","        551.00","        552.80","        555.55","        557.24","    1687480","           940338775.35","      40212","     843719","         50.00"
"CIPLA","EQ","13-May-2019","        555.55","        552.00","        556.75","        529.60","        550.15","        546.70","        549.22","    2027570","          1113590824.85","      43071","     720797","         35.55"
"CIPLA","EQ","14-May-2019","        546.70","        546.00","        560.75","        541.20","        555.60","        556.00","        552.07","    1822829","          1006336457.55","      35328","     588939","         32.31"
"CIPLA","EQ","15-May-2019","        556.00","        554.00","        562.50","        551.50","        555.00","        555.70","        557.23","    1396473","           778160305.45","      34557","     522771","         37.44"
"CIPLA","EQ","16-May-2019","        555.70","        554.00","        556.70","        541.05","        549.15","        550.20","        549.26","    2589467","          1422280304.00","      38029","    1131782","         43.71"
"CIPLA","EQ","17-May-2019","        550.20","        549.00","        551.95","        541.00","        542.85","        544.15","        544.86","    1194005","           650569870.00","      37695","     338318","         28.33"
"CIPLA","EQ","20-May-2019","        544.15","        560.00","        567.00","        550.40","        565.90","        565.45","        560.18","    1586746","           888870091.70","      25841","     397852","         25.07"
"CIPLA","EQ","21-May-2019","        565.45","        565.45","        580.00","        552.75","        558.65","        559.35","        566.95","    4286383","          2430185293.50","      69702","    1251935","         29.21"
"CIPLA","EQ","22-May-2019","        559.35","        562.00","        574.00","        550.05","        553.90","        553.00","        562.93","    7762734","          4369865685.60","     133426","    1791841","         23.08"
"CIPLA","EQ","23-May-2019","        553.00","        561.90","        568.90","        543.75","        565.20","        564.75","        560.32","    5640728","          3160630322.85","     108433","    2719330","         48.21"
"CIPLA","EQ","24-May-2019","        564.75","        569.20","        572.50","        559.45","        570.30","        570.60","        567.76","    1796355","          1019898069.85","      55681","     437911","         24.38"
"CIPLA","EQ","27-May-2019","        570.60","        570.00","        586.00","        568.00","        577.50","        578.70","        579.88","    1959075","          1136031108.55","      44831","     486623","         24.84"
