"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DRREDDY","EQ","26-Apr-2019","       2924.90","       2934.00","       2953.50","       2875.55","       2895.15","       2892.25","       2910.96","     925723","          2694744693.80","      38640","     270595","         29.23"
"DRREDDY","EQ","30-Apr-2019","       2892.25","       2903.95","       2950.00","       2895.30","       2933.80","       2933.75","       2930.99","     601275","          1762332376.25","      60244","     242428","         40.32"
"DRREDDY","EQ","02-May-2019","       2933.75","       2925.00","       2964.00","       2905.00","       2906.65","       2919.90","       2938.67","     588092","          1728205884.65","      41762","     236840","         40.27"
"DRREDDY","EQ","03-May-2019","       2919.90","       2910.10","       2932.75","       2890.70","       2906.10","       2907.45","       2909.97","     364533","          1060779581.85","      23615","      87264","         23.94"
"DRREDDY","EQ","06-May-2019","       2907.45","       2896.95","       2929.95","       2888.00","       2916.50","       2920.60","       2914.05","     411016","          1197722959.70","      20237","     161512","         39.30"
"DRREDDY","EQ","07-May-2019","       2920.60","       2936.00","       2952.00","       2925.25","       2942.50","       2942.45","       2941.98","     458140","          1347836995.40","      32395","     181191","         39.55"
"DRREDDY","EQ","08-May-2019","       2942.45","       2943.00","       2947.80","       2882.60","       2897.15","       2900.50","       2905.23","     450398","          1308511622.15","      33704","     176395","         39.16"
"DRREDDY","EQ","09-May-2019","       2900.50","       2882.25","       2909.30","       2838.60","       2908.40","       2900.60","       2868.41","     731120","          2097150261.90","      40021","     252493","         34.54"
"DRREDDY","EQ","10-May-2019","       2900.60","       2908.00","       2917.20","       2866.35","       2873.00","       2876.40","       2883.47","     339092","           977760484.45","      27127","     127133","         37.49"
"DRREDDY","EQ","13-May-2019","       2876.40","       2850.05","       2859.95","       2777.65","       2801.15","       2802.75","       2828.01","     659200","          1864223577.30","      30574","     195150","         29.60"
"DRREDDY","EQ","14-May-2019","       2802.75","       2785.80","       2827.00","       2760.05","       2812.00","       2807.60","       2798.21","     484950","          1356994306.45","      27142","     209705","         43.24"
"DRREDDY","EQ","15-May-2019","       2807.60","       2811.00","       2853.85","       2792.00","       2812.10","       2813.55","       2826.31","     478805","          1353252521.75","      38179","     154743","         32.32"
"DRREDDY","EQ","16-May-2019","       2813.55","       2813.15","       2826.35","       2760.20","       2810.00","       2801.00","       2795.57","     385300","          1077134248.50","      32877","      95282","         24.73"
"DRREDDY","EQ","17-May-2019","       2801.00","       2791.00","       2810.00","       2667.45","       2724.75","       2745.00","       2755.78","    1160721","          3198687548.90","      66208","     108850","          9.38"
"DRREDDY","EQ","20-May-2019","       2745.00","       2778.00","       2779.00","       2542.55","       2594.00","       2589.40","       2595.53","    2659265","          6902189650.85","     130910","     883687","         33.23"
"DRREDDY","EQ","21-May-2019","       2589.40","       2594.00","       2699.95","       2594.00","       2665.00","       2667.00","       2673.19","    2008336","          5368657940.75","     104334","     817009","         40.68"
